mediterranean-chicken-bowl	CC BY-SA 4.0	HaJunkiyada	File:Liat Portal for Foodie Disorder - Grilled chicken with rice, potatoes and vegetables.jpg
roasted-vegetable-couscous	CC BY-SA 4.0	Meriemou	File:Chicken Couscous.jpg
vegan-thai-curry	CC BY-SA 4.0	Kenamparo	File:Thai Green Curry with Rice.jpg
tofu-rice-bowl	CC0	Andy Li	File:House Special Tofu & Mushroom - The Big Bowl 2023-10-25.jpg
seasonal-vegetable-pasta	CC BY 2.0	Jeremy Keith	File:Pasta primavera.jpg
tomato-basil-pasta	CC BY-SA 2.0	Sungmin Yun	File:Basil pesto spaghetti and tomato juice.jpg
sandwiches	CC BY-SA 4.0	Acabashi	File:Fish finger sandwich at The Fox Inn public house at Finchingfield, Essex, England.jpg
fruit	CC BY 2.0	T.Tseng	File:Acai bowl, fresh fruit (42965870152).jpg
salads	CC BY 2.0	Selena N. B. H. from Fayetteville, USA	File:Bowtie pasta salad bowl close-up.jpg
drinks	CC BY-SA 4.0	Challiyan	File:Fruit juices in bottles.jpg
